side,index,id
X,1,x1
X,2,x2
X,3,x3
X,4,x4
X,5,x5
X,6,x6
X,7,x7
X,8,x8
X,9,x9
X,10,x10
X,11,x11
X,12,x12
X,13,x13
X,14,x14
X,15,x15
X,16,x16
X,17,x17
X,18,x18
X,19,x19
X,20,x20
X,21,x21
X,22,x22
X,23,x23
X,24,x24
X,25,x25
X,26,x26
X,27,x27
X,28,x28
X,29,x29
X,30,x30
X,31,x31
X,32,x32
X,33,x33
X,34,x34
X,35,x35
X,36,x36
X,37,x37
X,38,x38
X,39,x39
X,40,x40
X,41,x41
X,42,x42
X,43,x43
X,44,x44
X,45,x45
X,46,x46
X,47,x47
X,48,x48
X,49,x49
X,50,x50
X,51,x51
X,52,x52
X,53,x53
X,54,x54
X,55,x55
X,56,x56
X,57,x57
X,58,x58
X,59,x59
X,60,x60
X,61,x61
X,62,x62
X,63,x63
X,64,x64
X,65,x65
X,66,x66
X,67,x67
X,68,x68
X,69,x69
X,70,x70
X,71,x71
X,72,x72
X,73,x73
X,74,x74
X,75,x75
X,76,x76
X,77,x77
X,78,x78
X,79,x79
X,80,x80
X,81,x81
X,82,x82
X,83,x83
X,84,x84
X,85,x85
X,86,x86
X,87,x87
X,88,x88
X,89,x89
X,90,x90
X,91,x91
X,92,x92
X,93,x93
X,94,x94
X,95,x95
X,96,x96
X,97,x97
X,98,x98
X,99,x99
X,100,x100
X,101,x101
X,102,x102
X,103,x103
X,104,x104
X,105,x105
X,106,x106
X,107,x107
X,108,x108
X,109,x109
X,110,x110
X,111,x111
X,112,x112
X,113,x113
X,114,x114
X,115,x115
X,116,x116
X,117,x117
X,118,x118
X,119,x119
X,120,x120
X,121,x121
X,122,x122
X,123,x123
X,124,x124
X,125,x125
X,126,x126
X,127,x127
X,128,x128
X,129,x129
X,130,x130
X,131,x131
X,132,x132
X,133,x133
X,134,x134
X,135,x135
X,136,x136
X,137,x137
X,138,x138
X,139,x139
X,140,x140
X,141,x141
X,142,x142
X,143,x143
X,144,x144
X,145,x145
X,146,x146
X,147,x147
X,148,x148
X,149,x149
X,150,x150
X,151,x151
X,152,x152
X,153,x153
X,154,x154
X,155,x155
X,156,x156
X,157,x157
X,158,x158
X,159,x159
X,160,x160
X,161,x161
X,162,x162
X,163,x163
X,164,x164
X,165,x165
X,166,x166
X,167,x167
X,168,x168
X,169,x169
X,170,x170
X,171,x171
X,172,x172
X,173,x173
X,174,x174
X,175,x175
X,176,x176
X,177,x177
X,178,x178
X,179,x179
X,180,x180
X,181,x181
X,182,x182
X,183,x183
X,184,x184
X,185,x185
X,186,x186
X,187,x187
X,188,x188
X,189,x189
X,190,x190
X,191,x191
X,192,x192
X,193,x193
X,194,x194
X,195,x195
X,196,x196
X,197,x197
X,198,x198
X,199,x199
X,200,x200
Y,1,y1
Y,2,y2
Y,3,y3
Y,4,y4
Y,5,y5
Y,6,y6
Y,7,y7
Y,8,y8
Y,9,y9
Y,10,y10
Y,11,y11
Y,12,y12
Y,13,y13
Y,14,y14
Y,15,y15
Y,16,y16
Y,17,y17
Y,18,y18
Y,19,y19
Y,20,y20
Y,21,y21
Y,22,y22
Y,23,y23
Y,24,y24
Y,25,y25
Y,26,y26
Y,27,y27
Y,28,y28
Y,29,y29
Y,30,y30
Y,31,y31
Y,32,y32
Y,33,y33
Y,34,y34
Y,35,y35
Y,36,y36
Y,37,y37
Y,38,y38
Y,39,y39
Y,40,y40
Y,41,y41
Y,42,y42
Y,43,y43
Y,44,y44
Y,45,y45
Y,46,y46
Y,47,y47
Y,48,y48
Y,49,y49
Y,50,y50
Y,51,y51
Y,52,y52
Y,53,y53
Y,54,y54
Y,55,y55
Y,56,y56
Y,57,y57
Y,58,y58
Y,59,y59
Y,60,y60
Y,61,y61
Y,62,y62
Y,63,y63
Y,64,y64
Y,65,y65
Y,66,y66
Y,67,y67
Y,68,y68
Y,69,y69
Y,70,y70
Y,71,y71
Y,72,y72
Y,73,y73
Y,74,y74
Y,75,y75
Y,76,y76
Y,77,y77
Y,78,y78
Y,79,y79
Y,80,y80
Y,81,y81
Y,82,y82
Y,83,y83
Y,84,y84
Y,85,y85
Y,86,y86
Y,87,y87
Y,88,y88
Y,89,y89
Y,90,y90
Y,91,y91
Y,92,y92
Y,93,y93
Y,94,y94
Y,95,y95
Y,96,y96
Y,97,y97
Y,98,y98
Y,99,y99
Y,100,y100
Y,101,y101
Y,102,y102
Y,103,y103
Y,104,y104
Y,105,y105
Y,106,y106
Y,107,y107
Y,108,y108
Y,109,y109
Y,110,y110
Y,111,y111
Y,112,y112
Y,113,y113
Y,114,y114
Y,115,y115
Y,116,y116
Y,117,y117
Y,118,y118
Y,119,y119
Y,120,y120
Y,121,y121
Y,122,y122
Y,123,y123
Y,124,y124
Y,125,y125
Y,126,y126
Y,127,y127
Y,128,y128
Y,129,y129
Y,130,y130
Y,131,y131
Y,132,y132
Y,133,y133
Y,134,y134
Y,135,y135
Y,136,y136
Y,137,y137
Y,138,y138
Y,139,y139
Y,140,y140
Y,141,y141
Y,142,y142
Y,143,y143
Y,144,y144
Y,145,y145
