side,index,id
X,1,x1
X,2,x2
X,3,x3
X,4,x4
X,5,x5
X,6,x6
X,7,x7
X,8,x8
X,9,x9
X,10,x10
X,11,x11
X,12,x12
X,13,x13
X,14,x14
X,15,x15
X,16,x16
X,17,x17
X,18,x18
X,19,x19
X,20,x20
X,21,x21
X,22,x22
X,23,x23
X,24,x24
X,25,x25
X,26,x26
X,27,x27
X,28,x28
X,29,x29
X,30,x30
X,31,x31
X,32,x32
X,33,x33
X,34,x34
X,35,x35
X,36,x36
X,37,x37
X,38,x38
X,39,x39
X,40,x40
X,41,x41
X,42,x42
X,43,x43
X,44,x44
X,45,x45
X,46,x46
X,47,x47
X,48,x48
X,49,x49
X,50,x50
X,51,x51
X,52,x52
X,53,x53
X,54,x54
X,55,x55
X,56,x56
X,57,x57
X,58,x58
X,59,x59
X,60,x60
X,61,x61
X,62,x62
X,63,x63
X,64,x64
X,65,x65
X,66,x66
X,67,x67
X,68,x68
X,69,x69
X,70,x70
X,71,x71
X,72,x72
X,73,x73
X,74,x74
X,75,x75
X,76,x76
X,77,x77
X,78,x78
X,79,x79
X,80,x80
X,81,x81
X,82,x82
X,83,x83
X,84,x84
X,85,x85
X,86,x86
X,87,x87
X,88,x88
X,89,x89
X,90,x90
X,91,x91
X,92,x92
X,93,x93
X,94,x94
X,95,x95
X,96,x96
X,97,x97
X,98,x98
X,99,x99
X,100,x100
Y,1,y1
Y,2,y2
Y,3,y3
Y,4,y4
Y,5,y5
Y,6,y6
Y,7,y7
Y,8,y8
Y,9,y9
Y,10,y10
Y,11,y11
Y,12,y12
Y,13,y13
Y,14,y14
Y,15,y15
Y,16,y16
Y,17,y17
Y,18,y18
Y,19,y19
Y,20,y20
Y,21,y21
Y,22,y22
Y,23,y23
Y,24,y24
Y,25,y25
Y,26,y26
Y,27,y27
Y,28,y28
Y,29,y29
Y,30,y30
Y,31,y31
Y,32,y32
Y,33,y33
Y,34,y34
Y,35,y35
Y,36,y36
Y,37,y37
Y,38,y38
Y,39,y39
Y,40,y40
Y,41,y41
Y,42,y42
Y,43,y43
Y,44,y44
Y,45,y45
Y,46,y46
Y,47,y47
Y,48,y48
Y,49,y49
Y,50,y50
Y,51,y51
Y,52,y52
Y,53,y53
Y,54,y54
Y,55,y55
Y,56,y56
Y,57,y57
Y,58,y58
Y,59,y59
Y,60,y60
Y,61,y61
Y,62,y62
Y,63,y63
Y,64,y64
Y,65,y65
Y,66,y66
Y,67,y67
Y,68,y68
Y,69,y69
Y,70,y70
Y,71,y71
Y,72,y72
Y,73,y73
Y,74,y74
Y,75,y75
Y,76,y76
Y,77,y77
Y,78,y78
Y,79,y79
Y,80,y80
Y,81,y81
Y,82,y82
Y,83,y83
Y,84,y84
Y,85,y85
Y,86,y86
Y,87,y87
Y,88,y88
Y,89,y89
Y,90,y90
Y,91,y91
Y,92,y92
Y,93,y93
Y,94,y94
Y,95,y95
Y,96,y96
Y,97,y97
Y,98,y98
Y,99,y99
Y,100,y100
